doc_id,party_key,governing_law,effective_date,payment_net_days,payment_amount,risk_score,risk_bucket,issues_count,issue_types
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.txt,"2THEMART | I-ESCROW, INC., WITH ITS PRINCIPAL PLACE OF BUSINESS AT 1730 S. AMPHLETT BLVD., SUITE 233, SAN MATEO, CALIFORNIA 94402 (""I-ESCROW",California,,,,3.0,low,1,MISSING
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.txt,"* * * ] (THE ""PROVIDER | TELCOSTAR PTE",Singapore,,,,3.0,low,1,MISSING
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.txt,"CCGI | COLLECTIBLE CONCEPTS GROUP, INC",,,,,6.0,medium,2,MISSING
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.txt,"ACCURAY INCORPORATED, A DELAWARE CORPORATION WITH ITS EXECUTIVE OFFICES LOCATED AT 1310 CHESAPEAKE TERRACE, SUNNYVALE, CALIFORNIA 94089, USA (""ACCURAY | SIEMENS AKTIENGESELLSCHAFT",Delaware,,,,0.0,low,0,
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,"ADAMS GOLF | PROFESSIONAL GOLFER, TOM WATSON, (HEREINAFTER REFERRED TO AS ""CONSULTANT",,,,,6.0,medium,2,MISSING
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.txt,"ADAPTIMMUNE LLC | THE UNIVERSITY OF TEXAS M. D. ANDERSON CANCER CENTER, WITH A PLACE OF BUSINESS LOCATED AT 1515 HOLCOMBE BLVD., HOUSTON, TX 77030, USA (""MD ANDERSON""), A MEMBER INSTITUTION OF THE UNIVERSITY OF TEXAS SYSTEM (""SYSTEM",the State of Texas,,,,3.0,low,1,MISSING
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.txt",DETTO TECHNOLOGIES | PIVX CORPORATION,California,,,,3.0,low,1,MISSING
"ADMA BioManufacturing, LLC -  Amendment 3 to Manufacturing Agreement.txt","ADMA BIOMANUFACTURING, LLC, A DELAWARE LIMITED LIABILITY COMPANY, HAVING A PLACE OF BUSINESS AT 5800 PARK OF COMMERCE BOULEVARD NW, BOCA RATON, FLORIDA 33487 USA (""ADMA | SANOFI PASTEUR S",Delaware,,,,3.0,low,1,MISSING
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).txt","ENFORCEABLE TO THE GREATEST EXTENT PERMITTED BY LAW | THEM WITH RESPECT TO THE SUBJECT MATTER HEREOF. FOR THE AVOIDANCE OF DOUBT, THIS AGREEMENT DOES NOT SUPERSEDE OR IN MODIFY IN ANYWAY ANY OTHER WRITTEN AGREEMENT BETWEEN THE PARTIES. THIS AGREEMENT MAY NOT BE CHANGED OR MODIFIED, EXCEPT BY AN AGREEMENT IN WRITING SIGNED BY BOTH OF THE PARTIES HERETO. THE OBLIGATIONS OF CONSULTANT AS SET FORTH HEREIN, OTHER THAN CONSULTANT'S OBLIGATIONS TO PERFORM THE PROJECT, SHALL SURVIVE THE TERMINATION OF CONSULTANT'S ENGAGEMENT WITH ADURO. IF ANY PROVISION OF THIS AGREEMENT IS FOUND TO BE ILLEGAL OR UNENFORCEABLE, THE OTHER PROVISIONS OF THIS AGREEMENT SHALL REMAIN EFFECTIVE",,,,,6.0,medium,2,MISSING
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.txt","ENFORCEABLE TO THE GREATEST EXTENT PERMITTED BY LAW | THEM WITH RESPECT TO THE SUBJECT MATTER HEREOF. FOR THE AVOIDANCE OF DOUBT, THIS AGREEMENT DOES NOT SUPERSEDE OR IN MODIFY IN ANYWAY ANY OTHER WRITTEN AGREEMENT BETWEEN THE PARTIES. THIS AGREEMENT MAY NOT BE CHANGED OR MODIFIED, EXCEPT BY AN AGREEMENT IN WRITING SIGNED BY BOTH OF THE PARTIES HERETO. THE OBLIGATIONS OF CONSULTANT AS SET FORTH HEREIN, OTHER THAN CONSULTANT'S OBLIGATIONS TO PERFORM THE PROJECT, SHALL SURVIVE THE TERMINATION OF CONSULTANT'S ENGAGEMENT WITH ADURO. IF ANY PROVISION OF THIS AGREEMENT IS FOUND TO BE ILLEGAL OR UNENFORCEABLE, THE OTHER PROVISIONS OF THIS AGREEMENT SHALL REMAIN EFFECTIVE",,,,,6.0,medium,2,MISSING
