doc_id,issue_type,field,governing_law,payment_net_days,payment_amount,details,quote
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.txt,MISSING,payment_terms,California,,,{},
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.txt,MISSING,payment_terms,Singapore,,,{},
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.txt,MISSING,payment_terms,,,,{},
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.txt,MISSING,governing_law,,,,{},
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,MISSING,payment_terms,,,,{},
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,MISSING,governing_law,,,,{},
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.txt,MISSING,payment_terms,the State of Texas,,,{},
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.txt",MISSING,payment_terms,California,,,{},
"ADMA BioManufacturing, LLC -  Amendment 3 to Manufacturing Agreement.txt",MISSING,payment_terms,Delaware,,,{},
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).txt",MISSING,payment_terms,,,,{},
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).txt",MISSING,governing_law,,,,{},
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.txt",MISSING,payment_terms,,,,{},
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.txt",MISSING,governing_law,,,,{},
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.txt,MISSING,payment_terms,Delaware,,,{},
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.txt,AMBIGUOUS,termination_clause,England,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 8399, ""end"": 9210}}","TERMINATION 7.1 Notice of Breach Each party has an obligation to notify immediately the other party of any breach of this agreement. 7.2 Rectification of Breach Where the breach is rectifiable, the breaching party has 21 days from the date of notification of its breach to rectify. Following the expiry of this period, the non-breaching party may execute any rights it may have both in law and under …"
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.txt,MISSING,payment_terms,,,,{},
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.txt,MISSING,governing_law,,,,{},
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.txt,MISSING,governing_law,,,,{},
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,MISSING,payment_terms,,,,{},
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,MISSING,governing_law,,,,{},
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.txt,MISSING,payment_terms,Delaware,,,{},
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.txt,MISSING,payment_terms,New York,,,{},
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.txt,MISSING,payment_terms,Delaware,,,{},
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.txt,MISSING,payment_terms,Delaware,,,{},
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.txt,MISSING,payment_terms,,,,{},
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.txt,MISSING,governing_law,,,,{},
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,MISSING,payment_terms,California,,,{},
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.txt,MISSING,payment_terms,,,,{},
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.txt,MISSING,governing_law,,,,{},
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.txt,MISSING,payment_terms,,,,{},
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.txt,MISSING,governing_law,,,,{},
Apollo Endosurgery - Manufacturing and Supply Agreement.txt,AMBIGUOUS,termination_clause,Delaware,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 4745, ""end"": 5556}}",TERMINATION 2.1Term. This Agreement shall commence on the Effective Date and shall be valid for a period of five (5) years with automatic renewal of one year thereafter until terminated -2- by either party with one (1) year written notice prior to the expiration of the initial period or any extension period thereof. 2.2Termination. (a) Either Party may terminate this Agreement (i) for material bre…
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.txt,MISSING,payment_terms,Delaware,,,{},
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.txt,MISSING,payment_terms,Delaware,,,{},
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.txt,MISSING,termination_clause,Delaware,,,{},
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.txt,AMBIGUOUS,termination_clause,Delaware,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 9101, ""end"": 9912}}",TERMINATION. 4.1 Term. The Term of this Agreement will commence on the Effective Date and shall continue for the time periods set forth in Schedules 1 and 2 unless sooner terminated in accordance with the terms of this Agreement. 4.2 Termination for Breach. Licensor and Licensee will be entitled to terminate this Agreement by written notice to the other party in the event the other party is in mat…
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.txt,MISSING,payment_terms,Delaware,,,{},
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt",MISSING,payment_terms,the State of Delaware,,,{},
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.txt,MISSING,payment_terms,the State of Delaware,,,{},
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.txt",MISSING,payment_terms,Delaware,,,{},
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.txt,MISSING,payment_terms,the State of Iowa,,,{},
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..txt",MISSING,payment_terms,,,,{},
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..txt",MISSING,governing_law,,,,{},
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.txt,MISSING,payment_terms,Canada,,,{},
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.txt,MISSING,payment_terms,,,,{},
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.txt,MISSING,governing_law,,,,{},
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.txt,MISSING,payment_terms,,,,{},
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.txt,MISSING,termination_clause,,,,{},
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.txt,MISSING,governing_law,,,,{},
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.txt",MISSING,payment_terms,Illinois,,,{},
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.txt,MISSING,payment_terms,,,,{},
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.txt,MISSING,governing_law,,,,{},
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.txt,MISSING,payment_terms,,,,{},
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.txt,MISSING,governing_law,,,,{},
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.txt,MISSING,payment_terms,Delaware,,,{},
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.txt,AMBIGUOUS,termination_clause,,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 10048, ""end"": 10859}}","Termination This Agreement will become effective on the date a fully executed copy of this Agreement is received by Nationwide. This Agreement may be terminated as to the payments made on behalf of the Funds at any time, without the payment of any penalty, by the vote of a majority of the members of the Board of Trustees and who have no direct or indirect financial interest in the operation of the…"
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.txt,MISSING,payment_terms,,,,{},
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.txt,MISSING,governing_law,,,,{},
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.txt,MISSING,payment_terms,,,,{},
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.txt,MISSING,governing_law,,,,{},
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..txt",MISSING,payment_terms,Delaware,,,{},
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..txt",MISSING,termination_clause,Delaware,,,{},
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,MISSING,payment_terms,,,,{},
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,MISSING,termination_clause,,,,{},
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,MISSING,governing_law,,,,{},
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.txt,MISSING,payment_terms,Georgia,,,{},
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.txt",AMBIGUOUS,termination_clause,the State of Delaware without regard to its conflicts of law principles,,,"{""reason"": ""Ambiguous language detected"", ""span"": {""start"": 9601, ""end"": 10412}}","termination, Supplier shall continue performance of any nonterminated portion of the Purchase Order, or any nonterminated Purchase Orders, and the quantity of Ingredient ordered and so terminated shall be deducted against any relevant Master Purchase Commitment. 2.6 PNC or its contracted third-party auditors may enter and audit/inspect Supplier's facilities where the Ingredients are produced, stor…"
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.txt,MISSING,payment_terms,,,,{},
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.txt,MISSING,termination_clause,,,,{},
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.txt,MISSING,governing_law,,,,{},
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.txt,MISSING,payment_terms,,,,{},
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.txt,MISSING,termination_clause,,,,{},
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.txt,MISSING,governing_law,,,,{},
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.txt,MISSING,payment_terms,,,,{},
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.txt,MISSING,termination_clause,,,,{},
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.txt,MISSING,governing_law,,,,{},
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.txt",MISSING,payment_terms,Delaware,,,{},
