_doc_id,risk_score,risk_bucket,governing_law,payment_net_days,effective_date,_issues_count,tags
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.txt,9,high,,,,3,incomplete
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.txt,9,high,,,,3,incomplete
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.txt,12,high,,,,4,incomplete
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.txt,6,medium,,,,2,incomplete
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,10,high,,,,4,incomplete
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.txt,7,medium,the State of Texas,,,3,law:the State of Texas;incomplete
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.txt",9,high,,,,3,incomplete
"ADMA BioManufacturing, LLC -  Amendment 3 to Manufacturing Agreement.txt",9,high,,,,3,incomplete
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).txt",10,high,,,,4,incomplete
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.txt",10,high,,,,4,incomplete
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.txt,10,high,,,,4,incomplete
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.txt,7,medium,,,,3,incomplete
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.txt,10,high,,,,4,incomplete
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.txt,4,medium,the State of South Dakota,,,2,law:the State of South Dakota;incomplete
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.txt,6,medium,,,,2,incomplete
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,9,high,,,,3,incomplete
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.txt,9,high,,,,3,incomplete
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.txt,10,high,,,,4,incomplete
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.txt,10,high,,,,4,incomplete
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.txt,9,high,,,,3,incomplete
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.txt,9,high,,,,3,incomplete
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,9,high,,,,3,incomplete
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.txt,9,high,,,,3,incomplete
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.txt,9,high,,,,3,incomplete
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.txt,4,medium,the State of Delaware without regard to the conflict of laws provisions of any jurisdiction,,,2,law:the State of Delaware without regard to the conflict of laws provisions of any jurisdiction;incomplete
"Antares Pharma, Inc. - Manufacturing Agreement.txt",8,high,,,,4,incomplete
Apollo Endosurgery - Manufacturing and Supply Agreement.txt,7,medium,,,,3,incomplete
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.txt,9,high,,,,3,incomplete
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.txt,12,high,,,,4,incomplete
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.txt,10,high,,,,4,incomplete
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt",7,medium,the State of Delaware,,,3,law:the State of Delaware;incomplete
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.txt,7,medium,the State of Delaware,,,3,law:the State of Delaware;incomplete
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.txt",9,high,,,,3,incomplete
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.txt,7,medium,the State of Iowa,,,3,law:the State of Iowa;incomplete
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..txt",12,high,,,,4,incomplete
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.txt,9,high,,,,3,incomplete
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.txt,9,high,,,,3,incomplete
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.txt,15,high,,,,5,incomplete
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.txt",9,high,,,,3,incomplete
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.txt,9,high,,,,3,incomplete
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.txt,9,high,,,,3,incomplete
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.txt,10,high,,,,4,incomplete
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.txt,10,high,,,,4,incomplete
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.txt,9,high,,,,3,incomplete
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.txt,6,medium,,,,2,incomplete
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.txt,6,medium,,,,2,incomplete
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..txt",12,high,,,,4,incomplete
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,12,high,,,,4,incomplete
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.txt,12,high,,,,4,incomplete
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.txt",6,medium,,,,2,incomplete
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.txt",4,medium,the State of Delaware without regard to its conflicts of law principles,,,2,law:the State of Delaware without regard to its conflicts of law principles;incomplete
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.txt,2,low,the State of California,,2017-07-01,2,law:the State of California
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2.txt,12,high,,,,4,incomplete
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3.txt,12,high,,,,4,incomplete
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.txt,12,high,,,,4,incomplete
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.txt",10,high,,,,4,incomplete
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.txt,10,high,,,,4,incomplete
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT.txt,7,medium,,,,3,incomplete
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.txt,9,high,,,,3,incomplete
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1).txt,7,medium,,,,3,incomplete
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment.txt,12,high,,,,4,incomplete
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.txt,10,high,,,,4,incomplete
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT.txt,7,medium,,,,3,incomplete
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.txt,3,low,,,1999-01-05,1,incomplete
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.txt,9,high,,,,3,incomplete
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.txt,8,high,the State of Texas,,,4,law:the State of Texas;incomplete
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.txt,15,high,,,,5,incomplete
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.txt,9,high,,,,3,incomplete
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.txt,9,high,,,,3,incomplete
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement.txt,9,high,,,,3,incomplete
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.txt",9,high,,,,3,incomplete
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.txt",10,high,,,,4,incomplete
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.txt,9,high,,,,3,incomplete
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.txt,7,medium,the State of Oklahoma without regard to conflict of laws,,,3,law:the State of Oklahoma without regard to conflict of laws;incomplete
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT.txt,7,medium,the state of New York,,,3,law:the state of New York;incomplete
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.txt,9,high,,,,3,incomplete
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.txt",10,high,,,,4,incomplete
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.txt,6,medium,,,,2,incomplete
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.txt,9,high,,,,3,incomplete
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.txt",12,high,,,,4,incomplete
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.txt",9,high,,,,3,incomplete
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.txt,6,medium,,,11/4/10,2,incomplete
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.txt,12,high,,,,4,incomplete
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.txt,9,high,,,2011-03-03,3,incomplete
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,8,high,,,,4,incomplete
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.txt,9,high,,,,3,incomplete
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.txt,9,high,,,,3,incomplete
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.txt,9,high,,,,3,incomplete
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,9,high,,,,3,incomplete
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.txt",9,high,,,,3,incomplete
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.txt,12,high,,,,4,incomplete
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT.txt,5,medium,the State of California,,,3,law:the State of California;incomplete
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.txt,6,medium,,,,2,incomplete
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.txt,9,high,,,,3,incomplete
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.txt,8,high,the State of New York,,,4,law:the State of New York;incomplete
